,depth,magnitude
0,14.7,5.0
1,10.0,4.6
2,532.71,4.8
3,21.1,4.9
4,20.86,4.9
5,106.7,2.8
6,-1.26,2.63
7,55.87,4.7
8,10.0,5.2
9,10.0,5.6
10,10.0,4.8
11,50.0,2.92
12,10.0,4.9
13,126.0,2.8
14,196.49,5.5
15,89.0,2.5
16,15.7,4.5
17,10.0,5.2
18,57.07,4.6
19,10.0,5.0
20,10.0,5.1
21,10.0,4.5
22,6.8,2.5
23,123.76,4.9
24,52.45,4.3
25,21.08,3.9
26,10.0,4.8
27,10.0,4.7
28,10.0,5.0
29,10.0,4.8
30,21.21,5.1
31,12.59,3.66
32,20.0,5.4
33,10.0,4.4
34,10.0,5.1
35,3.33,2.83
36,40.6,2.8
37,13.81,6.2
38,10.0,4.3
39,5.41,2.84
40,5.2,2.71
41,10.0,3.8
42,14.82,4.3
43,10.0,3.8
44,8.42,6.1
45,36.58,4.1
46,15.11,4.9
47,38.32,4.8
48,26.7,5.2
49,40.01,5.0
50,13.33,5.7
51,22.31,4.7
52,33.05,4.9
53,49.0,4.7
54,35.9,4.8
55,50.46,4.9
56,60.3,5.0
57,33.0,3.32
58,23.64,6.0
59,9.11,2.6
60,37.0,2.6
61,3.94,2.7
62,35.0,4.6
63,5.0,2.6
64,35.0,5.1
65,32.38,4.6
66,113.69,4.7
67,92.0,2.92
68,119.0,2.64
69,10.81,5.0
70,35.0,4.8
71,35.0,4.7
72,35.0,5.6
73,27.32,4.8
74,35.0,5.2
75,35.0,5.0
76,118.0,3.53
77,21.44,4.8
78,35.0,5.0
79,2.92,2.54
80,83.0,3.76
81,53.0,3.56
82,35.0,4.1
83,0.0,2.7
84,35.0,4.6
85,6.05,2.6
86,27.93,4.6
87,35.0,4.6
88,35.0,5.0
89,163.03,4.4
90,35.0,5.0
91,35.0,5.0
92,84.0,2.47
93,35.0,4.5
94,16.63,5.2
95,78.0,2.8
96,35.0,5.0
97,35.0,3.08
98,35.0,4.9
99,190.19,4.6
100,35.0,5.2
101,10.0,4.5
102,50.0,2.85
103,10.0,4.2
104,35.0,5.3
105,34.31,4.6
106,35.0,4.9
107,35.0,5.0
108,100.0,2.75
109,10.0,5.0
110,35.0,5.4
111,38.97,5.5
112,35.0,7.5
113,42.74,4.4
114,75.2,2.8
115,10.0,4.6
116,30.77,5.6
117,11.0,2.94
118,10.71,4.5
119,6.3,3.04
120,589.36,4.6
121,221.47,4.6
122,9.03,2.46
123,29.18,4.3
124,53.62,4.7
125,69.0,3.34
126,131.9,4.0
127,54.02,4.4
128,20.46,3.7
129,5.0,2.7
130,5.0,3.6
131,35.0,2.8
132,10.0,4.3
133,1.88,2.72
134,12.86,4.8
135,21.56,3.7
136,253.99,4.6
137,67.0,3.18
138,137.68,4.4
139,47.35,4.3
140,51.0,3.73
141,69.0,2.52
142,36.39,4.2
143,8.0,2.73
144,10.0,4.7
145,12.41,2.9
146,6.1,3.51
147,128.0,3.1
148,41.3,2.6
149,21.37,4.8
150,83.5,3.0
151,10.0,4.0
152,96.37,4.3
153,7.6,2.8
154,22.6,4.0
155,0.0,3.3
156,9.0,2.68
157,3.39,3.1
158,17.57,3.8
159,10.0,5.2
160,10.59,5.0
161,-1.53,2.53
162,28.76,5.0
163,10.0,4.3
164,10.0,4.7
165,133.39,4.1
166,34.61,4.6
167,2.08,2.77
168,613.84,4.8
169,16.31,4.4
170,58.21,4.9
171,10.03,4.4
172,10.0,4.1
173,80.7,2.8
174,34.4,3.2
175,12.0,2.45
176,10.0,4.8
177,6.79,2.8
178,6.16,3.51
179,5.98,3.39
180,7.08,3.0
181,78.0,3.23
182,22.81,4.9
183,77.0,3.41
184,6.93,3.31
185,15.65,3.4
186,116.0,2.78
187,39.03,4.5
188,6.58,2.84
189,17.15,4.5
190,5.93,2.6
191,48.52,4.5
192,3.98,2.46
193,30.1,4.3
194,17.44,2.51
195,115.3,3.3
196,190.76,4.6
197,14.3,3.2
198,11.22,2.72
199,10.0,4.8
200,9.48,2.73
201,120.3,3.5
202,27.5,5.0
203,12.41,2.52
204,17.01,3.6
205,7.29,3.9
206,10.0,3.8
207,2.7,3.8
208,9.3,2.62
209,4.8,4.2
210,3.8,4.4
211,10.22,2.65
212,47.0,3.13
213,1.43,2.67
214,10.0,4.4
215,178.02,4.2
216,27.7,3.1
217,16.93,4.4
218,12.4,2.6
219,10.0,4.7
220,10.37,3.16
221,3.65,2.9
222,2.65,2.8
223,16.14,2.49
224,50.0,3.18
225,0.57,3.01
226,10.08,2.61
227,11.9,2.5
228,17.12,4.4
229,1.92,2.69
230,38.0,3.2
231,10.0,5.3
232,82.7,2.7
233,10.0,5.4
234,10.0,4.1
235,10.0,5.0
236,0.0,3.4
237,10.0,4.2
238,30.0,3.24
239,4.9,2.8
240,16.66,5.0
241,8.28,4.3
242,5.0,3.3
243,10.0,5.0
244,4.96,2.7
245,10.0,4.8
246,-2.1,2.85
247,164.8,4.3
248,10.0,2.9
249,1.4,2.6
250,8.0,3.17
251,52.34,4.7
252,49.72,4.4
253,44.0,3.42
254,186.8,4.1
255,162.17,4.5
256,36.21,4.7
257,10.0,4.6
258,0.1,3.0
259,2.49,2.5
260,10.0,4.4
261,10.0,5.2
262,14.54,2.93
263,252.43,4.3
264,9.5,2.5
265,15.0,3.18
266,204.53,4.2
267,40.5,3.2
268,134.72,4.7
269,140.26,4.8
270,29.76,3.17
271,10.2,2.7
272,123.0,3.4
273,3.3,2.9
274,6.86,2.75
275,35.0,4.5
276,21.69,2.8
277,110.49,4.7
278,9.08,2.68
279,51.94,4.5
280,1.18,3.2
281,65.9,4.9
282,83.32,4.4
283,30.02,4.3
284,98.0,2.53
285,56.0,3.14
286,8.46,2.54
287,20.72,3.2
288,20.5,3.6
289,10.0,5.0
290,10.0,4.2
291,28.7,2.7
